X	Y	Dz	Depth
3.339	0.307	0.01013	0.0252
3.341	0.311	0.00993	0.0254
3.344	0.316	0.00873	0.0266
3.346	0.32	0.00773	0.0276
3.349	0.325	0.00833	0.0274
3.351	0.329	0.00913	0.0266
3.353	0.333	0.00923	0.0265
3.356	0.338	0.00763	0.0281
3.358	0.342	0.00623	0.0295
3.361	0.346	0.00483	0.0309
3.363	0.351	0.00373	0.032
3.365	0.355	0.00273	0.033
3.368	0.36	0.00153	0.0358
3.37	0.364	0.00113	0.0362
3.372	0.368	0.00083	0.0365
3.375	0.373	0.00043	0.0369
3.377	0.377	0.00093	0.0364
3.38	0.381	0.00023	0.0371
3.382	0.386	0.00053	0.0368
3.385	0.39	0.00073	0.0366
3.387	0.395	0.00043	0.0364
3.389	0.399	-0.00077	0.0376
3.392	0.403	-0.00117	0.038
3.394	0.408	-0.00237	0.0392
3.396	0.412	-0.00327	0.0401
3.399	0.417	-0.00417	0.041
3.401	0.421	-0.00487	0.0417
3.404	0.426	-0.00527	0.0421
3.406	0.43	-0.00597	0.0408
3.408	0.434	-0.00737	0.0422
3.411	0.439	-0.00827	0.0431
3.413	0.443	-0.00837	0.0432
3.416	0.447	-0.00927	0.0441
3.418	0.452	-0.00987	0.0447
3.42	0.456	-0.00977	0.0446
3.423	0.461	-0.00997	0.0448
3.425	0.465	-0.00927	0.0449
3.428	0.469	-0.00927	0.0449
3.43	0.474	-0.00927	0.0449
3.456	0.12	-0.01077	0.0474
3.458	0.124	-0.01077	0.0474
3.46	0.129	-0.01077	0.0474
3.463	0.133	-0.00997	0.0466
3.465	0.138	-0.00877	0.0454
3.467	0.142	-0.00767	0.0443
3.47	0.147	-0.00597	0.0426
3.472	0.151	-0.00377	0.0404
3.474	0.156	-0.00257	0.0392
3.476	0.16	-0.00227	0.0389
3.479	0.165	-0.00097	0.0371
3.481	0.169	-0.00057	0.0367
3.483	0.173	0.00003	0.0361
3.486	0.178	0.00133	0.0348
3.488	0.182	0.00273	0.0334
3.49	0.187	0.00403	0.0321
3.492	0.191	0.00523	0.0309
