Location,Depth
-193.86,68.9
-183.86,68.9
-173.86,68.9
-173.48,69.16
-172.17,69.1
-172.17,68.8
-171.87,68.8
-171.87,69.1
-171.29,69.11
-167.8,71.46
-163.35,71.56
-162.12,71.46
-162.12,71.16
-161.82,71.16
-161.82,71.46
-161.2,71.47
-157.63,73.61
-157.36,73.56
-152.27,73.47
-152.17,73.69
-151.97,73.69
-150.08,73.689
-149.72,73.67
-149.25,73.73
-149.25,74.73
-144.98,70.97
-144.3,70.87
-144.3,70.57
-144,70.57
-144,70.87
-143.59,70.88
-141.55,69.53
-134.81,69.4
-134.33,69.05
-5.69,69.06
-5.29,69.2
-4.74,69.21
-3.99,68.91
-3.87,68.46
-3.57,68.46
-3.45,68.91
-2.96,68.9
-0.6,68.4
0,67.953
0,67.89
2.03,66.63
2.53,66.62
2.8,66.23
31.75,66.22
32.05,66.4
32.65,66.39
32.88,66.11
63.28,66.24
63.44,66.61
66.64,66.67
70.87,66.1
75.41,64.33
81.75,64.1
83.94,63.31
86.21,63.47
87.57,64.13
93.22,64.71
102.4,64.9
107.13,64.189
107.13,64.17
107.2,64.15
107.7,64.06
113,61.48
113.1,61.45
117.1,61.05
122.1,60.95
127.1,60.45
132.1,60.15
137.1,60.25
142.1,58.65
147.1,57.15
152.1,56.25
157.1,59.65
162.1,60.15
167.9,60.39
173.3,60.84
176.7,61.11
179.39,61.49
179.5,61.46
182.7,61.84
186.26,64
195.71,72.213
195.71,72.04
199.34,75.44
199.94,75.44
201.04,75.76
202.07,75.76
202.47,75.39
238.38,75.35
239.94,76.607
239.94,76.3
241.19,76.28
244.95,76.27
246.38,76.18
247.7,75.38
257.58,75.55
267.88,75.37
275.63,75.29
276.59,74.64
277.08,74.69
277.78,75.28
278.57,75.39
281.64,75.41
284.18,74.98
286.05,73.18
286.47,73.15
286.47,72.85
286.77,72.85
286.77,73.15
287.53,73.16
287.78,73.16
287.78,71.06
294.08,71.06
294.08,73.16
294.33,73.16
295.02,73.13
295.02,72.83
295.32,72.83
295.32,73.13
295.96,73.16
299.19,76.14
306.01,76.21
306.01,77.21
307.89,76.21
310.43,76.22
