Location,Depth
-27.4,81.57
-22.4,81.63
-17.33,81.57
-17.22,81.91
-17.02,81.91
-14,81.98
-14,82.98
-13.85,81.97
-12.02,81.76
-10,80.61
-6.81,80.35
0,76.553
0,76.43
3.68,75.02
6.02,74.26
7.51,73.2
8.65,73.16
9.01,72.97
9.72,72.98
10.04,73.3
13.02,73.18
21.01,68.98
21.63,68.99
22.13,69.29
22.62,69.3
22.94,68.78
23.45,68.79
23.85,69.14
26.06,68.99
36.69,69.09
45.98,69.01
50.39,69.06
52.65,69.36
59.15,68.74
71.04,67.93
82.51,67.04
92.38,66.6
97.26,65.728
97.26,65.69
97.6,65.67
102.1,65.32
106.48,64.03
108.5,63.82
113.5,63.52
118.5,63.22
123.5,63.12
128.5,63.02
133.5,62.82
138.5,62.72
143.5,61.82
148.5,63.02
153.5,61.42
158.5,62.72
163.5,62.72
168.5,63.52
173.5,63.12
178.5,62.22
183.5,63.12
188.5,62.52
193.5,62.72
198.5,63.22
204.7,63.44
206.5,63.64
207.81,64.07
209.5,65.08
214.2,66.85
222.78,76.68
222.78,76.815
222.78,76.68
228.93,77.58
234.78,78.55
241.13,78.92
245.34,78.94
250.35,78.03
254.78,78.04
254.78,77.96
255.45,77.89
258.48,74.95
260.02,74.96
262.31,76.41
263.85,76.48
264.1,76.48
264.1,72.78
268.6,72.78
268.6,76.48
268.85,76.48
274.87,76.69
278.27,78.97
280.34,79.24
283.59,79.29
285.18,79.29
286.3,79.06
295.01,79.02
